Player,Team,Pos,G,MP,GS,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Extra
Arella GuirantesSEAG947905.20.41.8.2500.10.7.1670.31.1.3000.30.6.6000.10.70.30.10.40.30.31.3,SEA,G,9,47,9,0,5.2,0.4,1.8,.250,0.1,0.7,.167,0.3,1.1,.300,0.3,0.6,.600,0.1,0.7,0.3,0.1,0.4,0.3,0.3,1.3
Megan GustafsonPHOC3451434415.13.05.7.5260.41.3.3492.64.4.5761.51.8.8061.43.90.70.40.41.11.97.9,PHO,C,34,514,34,4,15.1,3.0,5.7,.526,0.4,1.3,.349,2.6,4.4,.576,1.5,1.8,.806,1.4,3.9,0.7,0.4,0.4,1.1,1.9,7.9
Dearica HambyLASF40990401924.83.37.7.4310.21.0.2203.16.6.4642.13.2.6481.35.91.80.90.31.52.28.9,LAS,F,40,990,40,19,24.8,3.3,7.7,.431,0.2,1.0,.220,3.1,6.6,.464,2.1,3.2,.648,1.3,5.9,1.8,0.9,0.3,1.5,2.2,8.9
Linnae HarperWASG14731405.20.61.9.3080.30.8.3640.31.1.2670.00.00.20.60.30.10.00.30.81.4,WAS,G,14,73,14,0,5.2,0.6,1.9,.308,0.3,0.8,.364,0.3,1.1,.267,0.0,0.0,0.2,0.6,0.3,0.1,0.0,0.3,0.8,1.4,
Tyasha HarrisCONG4066840016.72.25.2.4161.02.1.4641.23.1.3840.40.6.6800.10.91.70.70.11.01.15.8,CON,G,40,668,40,0,16.7,2.2,5.2,.416,1.0,2.1,.464,1.2,3.1,.384,0.4,0.6,.680,0.1,0.9,1.7,0.7,0.1,1.0,1.1,5.8
Bernadett HatarCONC647607.81.02.7.3750.00.01.02.7.3750.00.00.51.50.20.70.30.71.52.0,CON,C,6,47,6,0,7.8,1.0,2.7,.375,0.0,0.0,1.0,2.7,.375,0.0,0.0,0.5,1.5,0.2,0.7,0.3,0.7,1.5,2.0,,
Tianna HawkinsWASF40923402123.13.36.6.4910.72.2.3332.54.5.5671.01.3.7501.55.01.40.80.41.22.58.2,WAS,F,40,923,40,21,23.1,3.3,6.6,.491,0.7,2.2,.333,2.5,4.5,.567,1.0,1.3,.750,1.5,5.0,1.4,0.8,0.4,1.2,2.5,8.2
Tiffany HayesCONG401082404027.14.28.8.4761.23.3.3663.05.6.5412.53.2.7781.03.02.60.90.11.42.912.1,CON,G,40,1082,40,40,27.1,4.2,8.8,.476,1.2,3.3,.366,3.0,5.6,.541,2.5,3.2,.778,1.0,3.0,2.6,0.9,0.1,1.4,2.9,12.1
Ruthy HebardCHIF191751909.21.62.8.5850.00.01.62.8.5850.71.1.6500.92.40.40.30.40.21.33.9,CHI,F,19,175,19,0,9.2,1.6,2.8,.585,0.0,0.0,1.6,2.8,.585,0.7,1.1,.650,0.9,2.4,0.4,0.3,0.4,0.2,1.3,3.9,
Natisha HiedemanCONG401066404026.73.17.9.3921.54.0.3661.63.8.4180.91.2.7390.22.12.70.90.11.42.28.5,CON,G,40,1066,40,40,26.7,3.1,7.9,.392,1.5,4.0,.366,1.6,3.8,.418,0.9,1.2,.739,0.2,2.1,2.7,0.9,0.1,1.4,2.2,8.5
Naz HillmonATLF4054140313.51.52.9.5090.00.0.0001.52.9.5131.21.4.8521.33.40.70.20.11.01.54.1,ATL,F,40,541,40,3,13.5,1.5,2.9,.509,0.0,0.0,.000,1.5,2.9,.513,1.2,1.4,.852,1.3,3.4,0.7,0.2,0.1,1.0,1.5,4.1
Khaalia HillsmanCHIC11101.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0,CHI,C,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Myisha Hines-AllenWASF35617351817.62.16.1.3400.51.9.2731.64.3.3690.91.3.7171.14.42.20.70.21.52.25.6,WAS,F,35,617,35,18,17.6,2.1,6.1,.340,0.5,1.9,.273,1.6,4.3,.369,0.9,1.3,.717,1.1,4.4,2.2,0.7,0.2,1.5,2.2,5.6
Jordan HorstonSEAF36806361722.42.87.6.3670.31.1.2442.56.5.3891.01.4.7121.35.11.61.20.62.02.26.9,SEA,F,36,806,36,17,22.4,2.8,7.6,.367,0.3,1.1,.244,2.5,6.5,.389,1.0,1.4,.712,1.3,5.1,1.6,1.2,0.6,2.0,2.2,6.9
Natasha HowardDALF391289393933.16.313.8.4581.03.3.2995.410.6.5072.83.5.8152.28.02.61.31.22.83.616.5,DAL,F,39,1289,39,39,33.1,6.3,13.8,.458,1.0,3.3,.299,5.4,10.6,.507,2.8,3.5,.815,2.2,8.0,2.6,1.3,1.2,2.8,3.6,16.5
Rhyne HowardATLG391283393932.95.815.1.3852.57.2.3523.37.8.4153.34.2.7880.74.93.51.30.61.92.817.5,ATL,G,39,1283,39,39,32.9,5.8,15.1,.385,2.5,7.2,.352,3.3,7.8,.415,3.3,4.2,.788,0.7,4.9,3.5,1.3,0.6,1.9,2.8,17.5
Lexie HullINDG30619302520.61.84.8.3720.42.0.2171.42.8.4820.60.7.7731.22.71.11.00.31.02.84.6,IND,G,30,619,30,25,20.6,1.8,4.8,.372,0.4,2.0,.217,1.4,2.8,.482,0.6,0.7,.773,1.2,2.7,1.1,1.0,0.3,1.0,2.8,4.6
Sabrina IonescuNYLG361134363631.55.412.8.4233.67.9.4481.94.9.3832.63.0.8720.85.65.41.00.32.61.717.0,NYL,G,36,1134,36,36,31.5,5.4,12.8,.423,3.6,7.9,.448,1.9,4.9,.383,2.6,3.0,.872,0.8,5.6,5.4,1.0,0.3,2.6,1.7,17.0
Moriah JeffersonPHOG39972393624.94.29.8.4331.02.7.3553.37.0.4641.11.3.8200.22.03.61.10.21.62.210.5,PHO,G,39,972,39,36,24.9,4.2,9.8,.433,1.0,2.7,.355,3.3,7.0,.464,1.1,1.3,.820,0.2,2.0,3.6,1.1,0.2,1.6,2.2,10.5
Marine JohannesNYLG3566235518.92.56.1.4141.64.3.3680.91.8.5240.40.6.7500.21.41.70.70.11.31.67.1,NYL,G,35,662,35,5,18.9,2.5,6.1,.414,1.6,4.3,.368,0.9,1.8,.524,0.4,0.6,.750,0.2,1.4,1.7,0.7,0.1,1.3,1.6,7.1
Brionna JonesCONF13412131331.76.210.8.5710.20.3.5006.010.5.5743.54.5.7763.28.22.41.80.52.24.115.9,CON,F,13,412,13,13,31.7,6.2,10.8,.571,0.2,0.3,.500,6.0,10.5,.574,3.5,4.5,.776,3.2,8.2,2.4,1.8,0.5,2.2,4.1,15.9
Haley JonesATLF-G4058440614.61.44.2.3370.20.7.2141.33.5.3620.81.0.7560.42.42.30.40.31.41.73.7,ATL,F-G,40,584,40,6,14.6,1.4,4.2,.337,0.2,0.7,.214,1.3,3.5,.362,0.8,1.0,.756,0.4,2.4,2.3,0.4,0.3,1.4,1.7,3.7
Jonquel JonesNYLC401001404025.04.48.4.5270.82.3.3523.66.1.5931.72.0.8632.68.41.80.61.32.12.811.3,NYL,C,40,1001,40,40,25.0,4.4,8.4,.527,0.8,2.3,.352,3.6,6.1,.593,1.7,2.0,.863,2.6,8.4,1.8,0.6,1.3,2.1,2.8,11.3
Dorka JuhÃ¡szMINF38919382724.22.55.2.4720.31.3.2712.14.0.5360.71.3.5401.76.52.60.90.61.21.86.0,MIN,F,38,919,38,27,24.2,2.5,5.2,.472,0.3,1.3,.271,2.1,4.0,.536,0.7,1.3,.540,1.7,6.5,2.6,0.9,0.6,1.2,1.8,6.0
Sika KonÃ©CHIF201862009.31.32.4.5320.10.3.3331.22.1.5611.01.3.7691.13.00.50.20.11.11.73.6,CHI,F,20,186,20,0,9.3,1.3,2.4,.532,0.1,0.3,.333,1.2,2.1,.561,1.0,1.3,.769,1.1,3.0,0.5,0.2,0.1,1.1,1.7,3.6
